HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeStrAgg,AwayStrAgg,HomeAttack,HomeDefense,AwayAttack,AwayDefense,IsCorrect
France,Portugal,2016-07-10,EUC-K,0,1,1,0.6577,0.4902,3.0384,4.6195,3.1864,6.4997,0
France,Germany,2016-07-07,EUC-K,2,0,1,0.5943,0.8102,2.7446,4.6187,4.4396,5.4798,0
Portugal,Wales,2016-07-06,EUC-K,2,0,0,0.4353,0.5412,2.8384,6.5204,2.8556,5.2761,0
France,Iceland,2016-07-03,EUC-K,5,2,1,0.5482,0.4464,2.177,3.9712,2.696,6.0399,1
Germany,Italy,2016-07-02,EUC-K,1,1,0,0.8332,0.5108,4.3053,5.167,3.0362,5.9439,0
Wales,Belgium,2016-07-01,EUC-K,3,1,0,0.472,0.6794,2.353,4.9856,3.4456,5.0717,0
Poland,Portugal,2016-06-30,EUC-K,1,1,0,0.5362,0.4331,2.8751,5.3619,2.7045,6.2438,0
England,Iceland,2016-06-27,EUC-K,1,2,0,0.7371,0.3996,3.2434,4.4003,2.3057,5.77,0
Italy,Spain,2016-06-27,EUC-K,2,0,0,0.461,0.7184,2.7454,5.9556,3.3765,4.6998,0
France,Republic of Ireland,2016-06-26,EUC-K,2,1,1,0.5389,0.3997,1.915,3.5537,2.2085,5.5255,1
Germany,Slovakia,2016-06-26,EUC-K,3,0,0,0.752,0.3207,3.9196,5.2122,2.0902,6.5166,1
Hungary,Belgium,2016-06-26,EUC-K,0,4,0,0.4003,0.5859,2.9208,7.2974,3.0223,5.158,1
Croatia,Portugal,2016-06-25,EUC-K,0,1,0,0.5172,0.4124,2.9766,5.7554,2.6083,6.3249,0
Switzerland,Poland,2016-06-25,EUC-K,1,1,0,0.5012,0.5332,2.7435,5.4744,2.7006,5.0651,0
Wales,Northern Ireland,2016-06-25,EUC-K,1,0,0,0.4495,0.3402,2.2617,5.0311,2.0036,5.889,1
Hungary,Portugal,2016-06-22,EUC-G,3,3,0,0.3965,0.4164,2.4407,6.1562,2.1953,5.272,0
Iceland,Austria,2016-06-22,EUC-G,2,1,0,0.3681,0.4776,2.0174,5.4802,2.1685,4.5408,0
Italy,Republic of Ireland,2016-06-22,EUC-G,0,1,0,0.5026,0.3579,2.7697,5.5107,2.045,5.7144,0
Sweden,Belgium,2016-06-22,EUC-G,0,1,0,0.3695,0.5558,2.4086,6.5191,2.872,5.1673,1
Croatia,Spain,2016-06-21,EUC-G,2,1,0,0.4693,0.8151,2.5514,5.4371,3.2556,3.9943,0
Czech Republic,Turkey,2016-06-21,EUC-G,0,2,0,0.3201,0.2969,2.3311,7.2814,1.6175,5.4477,0
Northern Ireland,Germany,2016-06-21,EUC-G,0,1,0,0.3594,0.7292,2.0344,5.6612,3.8246,5.2448,1
Ukraine,Poland,2016-06-21,EUC-G,0,1,0,0.3865,0.4952,1.9908,5.151,2.5284,5.106,1
Russia,Wales,2016-06-20,EUC-G,0,3,0,0.4385,0.3614,2.3774,5.4211,1.8058,4.9967,0
Slovakia,England,2016-06-20,EUC-G,0,0,0,0.3234,0.7363,2.201,6.8065,3.3429,4.5398,0
France,Switzerland,2016-06-19,EUC-G,0,0,1,0.5502,0.5045,1.9492,3.5425,2.7731,5.4965,0
Romania,Albania,2016-06-19,EUC-G,0,1,0,0.4218,0.2068,1.9408,4.6011,1.1657,5.6368,0
Belgium,Republic of Ireland,2016-06-18,EUC-G,3,0,0,0.4446,0.4333,2.3262,5.2319,2.0566,4.7467,1
Iceland,Hungary,2016-06-18,EUC-G,1,1,0,0.3661,0.4156,1.8685,5.1037,2.3651,5.6909,0
Portugal,Austria,2016-06-18,EUC-G,0,0,0,0.4115,0.4882,2.2368,5.4361,2.2446,4.5976,0
Czech Republic,Croatia,2016-06-17,EUC-G,2,2,0,0.3009,0.5056,1.9615,6.5188,2.3166,4.5814,0
Italy,Sweden,2016-06-17,EUC-G,1,0,0,0.4754,0.4067,2.6463,5.566,2.4852,6.11,1
Spain,Turkey,2016-06-17,EUC-G,3,0,0,0.6969,0.3573,2.7673,3.9709,1.6487,4.6146,1
England,Wales,2016-06-16,EUC-G,2,1,0,0.7415,0.3561,2.9419,3.9676,1.5718,4.4135,1
Germany,Poland,2016-06-16,EUC-G,0,0,0,0.7483,0.5128,3.9155,5.2324,2.6051,5.0802,0
Ukraine,Northern Ireland,2016-06-16,EUC-G,0,2,0,0.4766,0.2949,1.998,4.1919,1.6797,5.6963,0
France,Albania,2016-06-15,EUC-G,2,0,1,0.4835,0.2465,1.7103,3.5376,1.1764,4.772,1
Romania,Switzerland,2016-06-15,EUC-G,1,1,0,0.4011,0.5172,1.7481,4.3583,2.6307,5.086,0
Russia,Slovakia,2016-06-15,EUC-G,1,2,0,0.5031,0.2824,2.2875,4.5466,1.8534,6.5636,0
Austria,Hungary,2016-06-14,EUC-G,0,2,0,0.625,0.3277,2.3103,3.6963,1.9074,5.8204,0
Portugal,Iceland,2016-06-14,EUC-G,1,1,0,0.4268,0.3707,2.0752,4.8618,1.73,4.6671,0
Belgium,Italy,2016-06-13,EUC-G,0,2,0,0.5267,0.4102,2.3724,4.5038,2.2792,5.5562,0
Republic of Ireland,Sweden,2016-06-13,EUC-G,1,1,0,0.446,0.4213,1.9283,4.3237,2.3429,5.5607,0
Spain,Czech Republic,2016-06-13,EUC-G,1,0,0,0.6672,0.3248,2.6602,3.9872,2.0157,6.2061,1
Germany,Ukraine,2016-06-12,EUC-G,2,0,0,0.6851,0.5367,3.6032,5.2592,1.991,3.7099,1
Poland,Northern Ireland,2016-06-12,EUC-G,1,0,0,0.4761,0.3103,2.4423,5.1295,1.6756,5.4003,1
Turkey,Croatia,2016-06-12,EUC-G,0,1,0,0.4024,0.4645,1.6876,4.1942,2.1486,4.6251,1
Albania,Switzerland,2016-06-11,EUC-G,0,1,0,0.269,0.4807,1.1925,4.4335,2.4431,5.0819,1
England,Russia,2016-06-11,EUC-G,1,1,0,0.7835,0.4887,2.7792,3.5473,2.0455,4.1857,0
Wales,Slovakia,2016-06-11,EUC-G,2,1,0,0.3338,0.312,1.3096,3.9237,1.6386,5.2514,1
France,Romania,2016-06-10,EUC-G,2,1,1,0.4405,0.3919,1.5068,3.4208,1.5687,4.0028,1
